Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR34737865_1	55.68339999412461	49.0	150.0	150	9.090909090909092	38630490.0
SRR34737865_2	54.36768703997117	49.0	150.0	150	9.090909090909092	38630490.0
SRR34737866_1	57.16557102413516	49.0	150.0	150	9.090909090909092	40081567.0
SRR34737866_2	55.882737784673886	49.0	150.0	150	9.090909090909092	40081567.0
SRR34737867_1	54.79459039528255	49.0	150.0	150	9.090909090909092	38205271.0
SRR34737867_2	53.779888174442675	49.0	150.0	150	9.090909090909092	38205271.0
SRR34737868_1	57.070440723187076	48.0	150.0	150	9.090909090909092	38861451.0
SRR34737868_2	55.93632840799021	48.0	150.0	150	9.090909090909092	38861451.0
SRR34737869_1	56.032869825235416	49.0	150.0	150	9.090909090909092	37657666.0
SRR34737869_2	54.732288629429355	49.0	150.0	150	9.090909090909092	37657666.0
SRR34737870_1	56.84395105238844	49.0	150.0	150	9.090909090909092	38447275.0
SRR34737870_2	55.148727017573904	49.0	150.0	150	9.090909090909092	38447275.0
SRR34737871_1	55.192987915911985	50.0	150.0	150	9.090909090909092	36870564.0
SRR34737871_2	54.02164550127048	50.0	150.0	150	9.090909090909092	36870564.0
SRR34737872_1	58.69878306166997	50.0	150.0	150	9.090909090909092	40551216.0
SRR34737872_2	57.62898294291505	50.0	150.0	150	9.090909090909092	40551216.0
SRR34737873_1	58.11116544000303	50.0	150.0	150	9.090909090909092	37705309.0
SRR34737873_2	56.91078173017805	50.0	150.0	150	9.090909090909092	37705309.0
SRR34737874_1	57.82810530659415	50.0	150.0	150	9.090909090909092	38670940.0
SRR34737874_2	56.464258591264134	49.0	150.0	150	9.090909090909092	38670940.0
SRR34737875_1	56.35424867319369	50.0	150.0	150	9.090909090909092	37678184.0
SRR34737875_2	55.16548958029684	50.0	150.0	150	9.090909090909092	37678184.0
SRR34737876_1	57.47978454117868	49.0	150.0	150	9.090909090909092	38831224.0
SRR34737876_2	55.92233438245156	49.0	150.0	150	9.090909090909092	38831224.0
